gender,usage,credit,loan,history,accounts,status,status01,loan01
0,1,8.006367567650246,0.0,0,0,0,0,0
0,0,8.006367567650246,0.0,7,3,1,1,0
1,0,8.517193191416236,0.0,7,2,3,1,0
1,1,8.006367567650246,7.4645098346365275,0,0,0,0,1
1,0,7.600902459542082,0.0,0,11,0,0,0
0,0,8.006367567650246,0.0,0,2,3,1,0
1,0,8.517193191416236,0.0,0,5,4,1,0
0,1,8.294049640102028,0.0,2,2,1,1,0
1,1,8.006367567650246,0.0,2,4,0,0,0
1,1,8.006367567650246,0.0,0,1,2,1,0
1,1,8.699514748210191,0.0,0,0,4,1,0
1,0,8.006367567650246,0.0,0,0,2,1,0
0,1,8.006367567650246,7.273092595999522,0,2,2,1,1
1,0,7.549609165154531,0.0,4,6,3,1,0
0,1,9.210340371976182,0.0,0,1,0,0,0
0,1,9.210340371976182,0.0,0,0,0,0,0
0,1,8.006367567650246,0.0,2,1,1,1,0
1,1,8.006367567650246,0.0,6,4,2,1,0
1,1,9.210340371976182,0.0,0,0,0,0,0
1,1,8.006367567650246,0.0,0,0,0,0,0
0,1,8.517193191416236,0.0,0,3,0,0,0
1,1,8.006367567650246,0.0,2,4,0,0,0
1,1,8.517193191416236,9.50061907027523,0,3,0,0,1
1,0,9.210340371976182,0.0,2,1,1,1,0
1,1,8.517193191416236,0.0,1,2,4,1,0
0,1,8.517193191416236,0.0,0,0,0,0,0
0,0,6.907755278982137,0.0,2,4,4,1,0
0,1,8.006367567650246,0.0,1,9,2,1,0
0,1,9.615805480084347,0.0,0,0,0,0,0
0,0,8.699514748210191,0.0,3,9,4,1,0
1,1,8.006367567650246,0.0,1,1,2,1,0
0,1,9.210340371976182,0.0,0,3,0,0,0
0,1,7.600902459542082,7.917536353943631,1,2,2,1,1
0,0,8.006367567650246,0.0,1,0,1,1,0
1,1,8.006367567650246,0.0,0,0,0,0,0
1,1,8.517193191416236,0.0,3,0,2,1,0
0,0,8.006367567650246,0.0,8,8,4,1,0
0,1,9.210340371976182,7.820037989458753,0,1,0,0,1
1,1,6.907755278982137,0.0,0,4,0,0,0
0,1,8.006367567650246,0.0,0,1,0,0,0
1,0,9.615805480084347,0.0,2,7,3,1,0
1,1,9.210340371976182,0.0,0,3,0,0,0
1,1,8.006367567650246,0.0,2,0,2,1,0
0,1,8.006367567650246,0.0,0,5,2,1,0
1,0,8.294049640102028,0.0,0,2,0,0,0
1,1,9.210340371976182,0.0,0,1,0,0,0
1,0,9.082507000466297,9.31883596812948,0,15,2,1,1
1,0,8.006367567650246,0.0,0,3,1,1,0
1,1,9.210340371976182,7.889459149404524,0,2,0,0,1
1,1,8.006367567650246,0.0,2,1,2,1,0
1,1,7.600902459542082,0.0,1,0,2,1,0
1,1,8.006367567650246,0.0,1,0,0,0,0
0,1,8.006367567650246,0.0,5,14,1,1,0
1,0,8.006367567650246,0.0,0,7,3,1,0
0,1,8.294049640102028,0.0,3,4,1,1,0
1,0,9.210340371976182,0.0,1,8,2,1,0
0,1,8.006367567650246,0.0,0,0,0,0,0
0,1,7.600902459542082,0.0,1,0,2,1,0
1,1,8.006367567650246,0.0,0,2,0,0,0
1,1,8.517193191416236,0.0,7,0,3,1,0
1,0,9.210340371976182,0.0,0,3,2,1,0
0,1,8.517193191416236,0.0,0,1,2,1,0
1,1,7.600902459542082,0.0,0,0,0,0,0
1,1,8.517193191416236,0.0,0,1,0,0,0
1,1,8.294049640102028,0.0,0,0,0,0,0
1,0,8.517193191416236,8.101374671228582,0,12,1,1,1
0,0,8.85366542803745,0.0,1,15,0,0,0
1,1,8.294049640102028,0.0,0,3,0,0,0
0,0,8.517193191416236,0.0,0,1,1,1,0
0,0,8.517193191416236,7.419979923661835,0,0,0,0,1
1,1,8.517193191416236,0.0,0,1,0,0,0
1,1,8.160518247477505,0.0,4,1,2,1,0
0,0,8.517193191416236,0.0,1,18,0,0,0
1,1,8.517193191416236,0.0,0,4,1,1,0
